referenceid	timestamp_started	timestamp_finished	nctid	reason_for_termination	primary_reason	secondary_reasons_1a	secondary_reasons_1b	secondary_reasons_1c	secondary_reasons_1d	secondary_reasons_1e	secondary_reasons_2a	secondary_reasons_2b	secondary_reasons_2c	secondary_reasons_2d	secondary_reasons_2e	secondary_reasons_3a	secondary_reasons_3b	secondary_reasons_none	open_text_1
367	2024-02-08 06:35:01	2024-03-11 08:53:56	NCT02067884	Slow accrual	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
1	2024-02-12 06:58:10	2024-02-27 04:09:01	NCT00150878	Insurance coverage reached	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
2	2024-02-12 06:58:33	2024-02-27 04:10:07	NCT00480077	Low enrollment rates	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
3	2024-02-12 07:05:21	2024-03-11 08:54:42	NCT00618384	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
7	2024-02-12 07:13:08	2024-02-27 04:11:47	NCT00716833	poor recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
40	2024-02-12 07:16:31	2024-03-11 08:55:01	NCT00405873	Lack of efficacy	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
5	2024-02-12 07:16:34	2024-02-27 04:11:05	NCT00672334	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
362	2024-02-12 07:17:49	2024-03-11 08:52:18	NCT01518465	Insufficient Accrual	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
364	2024-02-12 07:18:00	2024-03-11 08:52:51	NCT02127892	Closed due to slow accrual. Nine subjects enrolled over 7 years.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
357	2024-02-12 07:19:25	2024-03-11 08:49:36	NCT00556907	Lack of Funding	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
359	2024-02-12 07:19:32	2024-03-11 08:50:45	NCT02967380	Insufficient Accrual	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
355	2024-02-12 07:19:39	2024-03-11 08:49:00	NCT01801046	Insufficient Accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
127	2024-02-12 07:19:53	2024-02-27 05:22:44	NCT00950274	Recruitment stopped due to slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
4	2024-02-12 07:20:11	2024-02-27 04:10:31	NCT00640679	Due to slow enrollment the study was stopped prematurely.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
8	2024-02-12 07:47:48	2024-02-27 04:12:11	NCT00798525	Supply of Lepirudin ended on 01. April 2012, thus trial terminated on 31. March 2012	2d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
6	2024-02-27 04:11:13	2024-02-27 04:11:32	NCT00690118	The interim analysis showed no tendency in favour of the verum group. Therefore it was decided to stop the study prematurely.	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
9	2024-02-27 04:12:16	2024-02-27 04:12:24	NCT00803309	At the end of the planned recruitment period the expected number of subjects could not be included in the trial.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
10	2024-02-27 04:12:32	2024-02-27 04:12:46	NCT00986258	This clinical trial was terminated early, due to slow recruitment and study drug shortages.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
11	2024-02-27 04:12:54	2024-02-27 04:13:10	NCT00996554	Feasibility reasons; recruitment was too slow.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
12	2024-02-27 04:13:14	2024-02-27 04:13:57	NCT00999856	Two cohorts successfully completed; further cohorts not needed; no safety issue!	1b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
13	2024-02-27 04:14:00	2024-02-27 04:14:12	NCT01021423	Terminated by sponsor due to new unpublished data that rendered the current design of the study no longer clinically relevant. There were no safety concerns.	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
14	2024-02-27 04:14:17	2024-02-27 04:17:24	NCT01030666	shelf life of investigational drug ran out before 90 patients could be included	2d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
15	2024-02-27 04:17:32	2024-02-27 04:17:44	NCT01143272	Masked independent interim analysis: completion of the trial was unlikely.	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
16	2024-02-27 04:17:48	2024-02-27 04:17:55	NCT01178255	recruitment difficulties	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
17	2024-02-27 04:17:58	2024-02-27 04:18:35	NCT01239992	negative endpoint study resulting in withdrawal of study drug	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
18	2024-02-27 04:18:38	2024-02-27 04:18:49	NCT01297712	enrollment terminated, analysis ongoing	3b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
19	2024-02-27 04:18:52	2024-02-27 04:18:57	NCT01339026	Change in guidelines favouring newer antiplatelet drugs in ACS	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
20	2024-02-27 04:19:02	2024-02-27 04:19:16	NCT01564095	Missing evidence of the effectiveness of the study medication	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
21	2024-02-27 04:19:27	2024-02-27 04:19:58	NCT01601496	Slow Enrollment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
22	2024-02-27 04:20:01	2024-02-27 04:20:07	NCT00626548	early efficacy review by the Independent Data Monitoring Committee indicated it was unlikely to meet its primary efficacy endpoints	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
23	2024-02-27 04:20:12	2024-02-27 04:20:19	NCT00746720	Patient recruitment difficulties	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
24	2024-02-27 04:20:23	2024-02-27 04:20:31	NCT00368121	Lack of recruitable patients	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
25	2024-02-27 04:20:34	2024-02-27 04:20:40	NCT00502554	insufficient patient recruitment and ECP capacity	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
26	2024-02-27 04:20:45	2024-02-27 04:20:51	NCT00663104	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
27	2024-02-27 04:20:54	2024-02-27 04:21:01	NCT00667667	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
28	2024-02-27 04:21:09	2024-02-27 04:21:21	NCT00708942	Slow recruitment, study stopped with only 13 of 70 patients included in second part of the study	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
29	2024-02-27 04:21:30	2024-02-27 04:23:10	NCT00720850	Low recruitment, scientific rationale not applicable anymore to all patients and possible induction of GvHD by the study drug	1a	0	0	0	1	NULL	1	0	0	0	0	0	0	0	NULL
30	2024-02-27 04:23:14	2024-02-27 04:23:34	NCT00823290	Investigator left site	2c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
31	2024-02-27 04:23:38	2024-02-27 04:23:44	NCT00933374	delayed recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
32	2024-02-27 04:23:48	2024-02-27 04:25:17	NCT01079091	The foundations of our pilotstudy planning has changed.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	Other option is external evidence, but reason not clear (same as NCT01079104)
33	2024-02-27 04:25:20	2024-02-27 04:25:55	NCT01079104	The foundations of our pilotstudy planning has changed.	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	Other option is external evidence, but reason not clear (same as NCT01079091)
34	2024-02-27 04:26:00	2024-02-27 04:26:47	NCT01187888	IMP used off label by phys. in pat. with PSP. Thus no more eligible patients were available for the study(pre-treatm.with Rasagiline=exclusion criterion	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	1	NULL
35	2024-02-27 04:26:58	2024-02-27 04:27:06	NCT01215266	Slow recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
36	2024-02-27 04:27:16	2024-02-27 04:27:29	NCT01245985	slow recruitment (only 8 patients recruited and treated until 12&#x2F;2012)	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
37	2024-02-27 04:27:33	2024-02-27 04:27:42	NCT00125606	insufficient patient recruitement	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
38	2024-02-27 04:27:46	2024-02-27 04:27:52	NCT00331721	Scientific data called into question the viability of the substance class	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
39	2024-02-27 04:28:09	2024-02-27 04:28:17	NCT00368264	Failure to recruit patients with membranous lupus nephritis not previously treated with azathioprine .	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
