nctid,group_id,title,description,seriousNumAffected,seriousNumAtRisk
NCT00480077,EG000,Access Arm,"HF subjects managed with standard clinical assessment and using OptiVol® Fluid status monitoring with Cardiac Compass Report

Programming (CRT-D, ICD OptiVol® and Cardiac Compass® ): OptiVol® Fluid status Monitoring with Cardiac Compass",50,168
NCT00480077,EG001,Control Arm,"HF subjects managed with standard clinical assessment

Programming (CRT-D, ICD OptiVol® and Cardiac Compass® ): OptiVol® Fluid status Monitoring with Cardiac Compass",34,167
NCT02127892,EG000,Unrelated BM With T Cell Depletion,"Acceptable matching for matched unrelated donor (MUD) bone marrow will be genotypic matches at 10 of 10 HLA alleles (HLA-A, B, C, DR and DQ) or 9 of 10 HLA alleles.

unrelated BM with T cell depletion: Remaining unmanipulated bone marrow will be processed to isolate CD34+ cells (T cell depleted).",1,7
NCT02127892,EG001,Unrelated Cord Blood,"Acceptable matching for unrelated cord blood will be a genotypic match at 6 of 6 alleles (HLA A, B and DR) or 5 of 6 alleles, but not with mismatches at both alleles of a single locus (e.g. not mismatched for both HLA A alleles).

unrelated cord blood: Cord blood will be thawed (and processed if ABO incompatibility) per institutional SOP.",1,2
NCT02127892,EG002,Haplo BM With T Cell Depletion,"If there is no unrelated donor available meeting the matching criteria for unrelated bone marrow or unrelated cord blood donors.

haplo BM with T cell depletion: haplo-identical (parental) bone marrow will be processed for CD34+ cell isolation.",0,0
NCT02127892,EG003,Unrelated PBSC With T Cell Depletion,"The preferred source will be bone marrow, however, if a donor is unable or unwilling to donate bone marrow, peripheral blood stem cells (PBSC) will be allowed.

unrelated PBSC with T cell depletion: peripheral blood stem cell will be processed for CD34+ cell isolation.",0,0
NCT00986258,EG000,Tapentadol Prolonged Release,"All participants started with either 50 mg, 100 mg, or 150 mg tapentadol prolonged release (twice daily). The dose of tapentadol prolonged release was adjusted to a level that provided adequate analgesia necessary to achieve a balance between pain relief and a satisfactory level of tolerability (upwards or downwards on a weekly basis as needed). After 5 weeks the doses of tapentadol prolonged release was kept stable. Participants were permitted a maximum dose of 250 mg twice a day (500 mg total daily dose). Tapentadol immediate release 50 mg (no more than twice daily; at least 4 hours apart) was considered as medication for acute pain episodes however, participants were not permitted to dose tapentadol immediate release once 500 mg tapentadol prolonged release dose was reached.",11,125
NCT01030666,EG000,Doxycycline,"The patients of the doxycycline group will take 200 mg doxycycline once a day for 7 days after regenerative therapy of an infrabony defects additionally to

* modified/simplified papilla preservation flap; scaling
* Prefgel/Emdogain
* 0.12% chlorhexidine gluconate solution
* Ibuprofen 400 mg (if necessary)
* 1% chlorhexidine gluconate gel (if necessary)",0,28
NCT01030666,EG001,Placebo,"The patients of the control group will take placebo once a day for 7 days after regenerative therapy of an infrabony defect additionally to

* modified/simplified papilla preservation flap; scaling
* Prefgel/Emdogain
* 0.12% chlorhexidine gluconate solution
* Ibuprofen 400 mg (if necessary)
* 1% chlorhexidine gluconate gel (if necessary)",0,33
NCT01601496,EG000,FUSION Vascular Graft,All subjects who receive a FUSION Vascular Graft at the baseline implant procedure,48,117
NCT00708942,EG000,"Arm 1: HAL Suppository, Laser Illumination",NA,3,47
NCT00708942,EG001,"Arm 2: Placebo Suppository, Laser Illumination",NA,0,12
NCT00708942,EG002,Arm 3: No Intervention,NA,1,11
NCT00708942,EG003,"Arm 4: HAL Ointment, LED Diode Illumination",NA,0,10
NCT00708942,EG004,"Arm 5: Placebo Ointment, no Illumination",NA,0,3
NCT01058369,EG000,Deferasirox,Deferasirox (Novartis Pharma): Treatment period 102 weeks. Starting dose 10mg/kg/day. Up to 30/mg/kg according to dose adjustment table as specified in the protocol,1,2
NCT01199783,EG000,Daptomycin,"Infusion of Daptomycin (6 mg/kg bodyweight) once daily

Daptomycin: Infusion (6 mg/kg/bodyweight) once daily",0,1
NCT01199783,EG001,Vancomycin,"Vancomycin once daily (effective blood-plasma concentration of 15 mg/l)

Vancomycin: vancomycin once daily (effective blood-plasma concentration of 15 mg/L)",0,0
NCT02340299,EG000,nHFOV,"Immediately after extubation, nHFOV is provided via binasal prongs. Ventilator settings: Frequency set at 10 Hz, I:E ratio 33:66, amplitude 20 cm H2O, Pmean 8 cm H2O, flow 7 l/min. Set FiO2 to maintain SpO2 at 90-94%.

The weaning process is left to the discretion of the attending physician. Maximum amplitude 30 cm H2O, minimum frequency 9 Hz, maximum Pmean 8 cm H2O.

For infants in the nHFOV-group who ""fail"" nHFOV (see definition below), but do not need immediate reintubation, a non-invasive ""Rescue-Treatment"" may be provided. The decision to attempt ""Rescue-Treatment"", the mode of respiratory support and the ventilator settings used are at the discretion of the attending clinician.

nHFOV: Extubation to ventilator-derived nHFOV using binasal prongs",0,4
