"nctid","anticipated_enrollment","actual_enrollment","has_summary_results","has_publication","phase_recoded","has_publ_or_summary","source"
"NCT00056134",30,23,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00094497",300,304,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT00098137",422,422,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00114348",338,338,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00115518",30,30,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00122031",12,13,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT00136188",100,100,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT00151242",920,920,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT00151255",500,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00163267",NA,80,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT00170326",NA,108,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00170625",36,28,TRUE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00180089",242,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00180102",600,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00185159",4400,4449,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00199082",400,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00202917",40,61,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00222222",300,105,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00232830",NA,715,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00256152",2500,2580,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00262119",1300,1300,TRUE,TRUE,"IV",TRUE,"Intovalue"
"NCT00282646",40,40,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00284713",30,NA,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00293943",NA,232,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00298597",180,NA,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00326989",100,103,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00335543",254,NA,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00351403",390,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00355095",40,40,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00359918",NA,162,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00362089",NA,208,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00366158",294,461,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00368953",240,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00373451",1700,1721,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00374985",30,25,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00375219",81,103,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00382967",250,273,TRUE,TRUE,"IV",TRUE,"Intovalue"
"NCT00390832",120,138,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00392184",NA,274,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00395252",73,76,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00400387",486,449,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00402675",600,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00404092",48,46,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00419601",24,24,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00422916",100,66,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00437385",NA,90,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT00438451",360,361,TRUE,TRUE,"IV",TRUE,"Intovalue"
"NCT00445081",66,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00447304",644,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00449969",250,312,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00456092",132,204,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00469638",130,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00470626",85,129,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00473499",60,NA,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00478933",1300,1223,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00504400",10,10,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00506688",138,153,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00507988",100,91,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00509184",85,85,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00510965",10,10,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00512135",350,801,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT00515814",15,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00521664",400,400,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00533221",20,20,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00534079",15,23,FALSE,TRUE,"III",TRUE,"Intovalue"
