"id","registry","crossreg_euctr_id","is_crossreg_eudract"
"NCT00742495","ClinicalTrials.gov","2008-002219-42",TRUE
"NCT00003636","ClinicalTrials.gov",NA,FALSE
"NCT00020566","ClinicalTrials.gov",NA,FALSE
"NCT00047112","ClinicalTrials.gov",NA,FALSE
"NCT00052468","ClinicalTrials.gov",NA,FALSE
"NCT00056056","ClinicalTrials.gov","2004-003701-24",TRUE
"NCT00056134","ClinicalTrials.gov",NA,FALSE
"NCT00061984","ClinicalTrials.gov",NA,FALSE
"NCT00074087","ClinicalTrials.gov","2004-001746-32",TRUE
"NCT00086580","ClinicalTrials.gov","2004-000149-39",TRUE
"NCT00088530","ClinicalTrials.gov",NA,FALSE
"NCT00094497","ClinicalTrials.gov",NA,FALSE
"NCT00094653","ClinicalTrials.gov",NA,FALSE
"NCT00095875","ClinicalTrials.gov",NA,FALSE
"NCT00098137","ClinicalTrials.gov",NA,FALSE
"NCT00111345","ClinicalTrials.gov",NA,FALSE
"NCT00114348","ClinicalTrials.gov",NA,FALSE
"NCT00115518","ClinicalTrials.gov",NA,FALSE
"NCT00118573","ClinicalTrials.gov",NA,FALSE
"NCT00119717","ClinicalTrials.gov",NA,FALSE
"NCT00120406","ClinicalTrials.gov",NA,FALSE
"NCT00122031","ClinicalTrials.gov",NA,FALSE
"NCT00133978","ClinicalTrials.gov","2007-001831-73",TRUE
"NCT00136188","ClinicalTrials.gov",NA,FALSE
"NCT00150878","ClinicalTrials.gov",NA,FALSE
"NCT00151242","ClinicalTrials.gov",NA,FALSE
"NCT00151255","ClinicalTrials.gov",NA,FALSE
"NCT00163267","ClinicalTrials.gov",NA,FALSE
"NCT00170326","ClinicalTrials.gov",NA,FALSE
"NCT00170625","ClinicalTrials.gov",NA,FALSE
"NCT00180089","ClinicalTrials.gov",NA,FALSE
"NCT00180102","ClinicalTrials.gov",NA,FALSE
"NCT00182819","ClinicalTrials.gov","2004-002714-11",TRUE
"NCT00185159","ClinicalTrials.gov",NA,FALSE
"NCT00199082","ClinicalTrials.gov",NA,FALSE
"NCT00202917","ClinicalTrials.gov",NA,FALSE
"NCT00204529","ClinicalTrials.gov",NA,FALSE
"NCT00211237","ClinicalTrials.gov",NA,FALSE
"NCT00222222","ClinicalTrials.gov",NA,FALSE
"NCT00224770","ClinicalTrials.gov",NA,FALSE
"NCT00232830","ClinicalTrials.gov",NA,FALSE
"NCT00251251","ClinicalTrials.gov",NA,FALSE
"NCT00255112","ClinicalTrials.gov",NA,FALSE
"NCT00256152","ClinicalTrials.gov",NA,FALSE
"NCT00261846","ClinicalTrials.gov","2005-004230-40",TRUE
"NCT00262119","ClinicalTrials.gov",NA,FALSE
"NCT00263419","ClinicalTrials.gov",NA,FALSE
"NCT00272948","ClinicalTrials.gov","2004-000592-33",TRUE
"NCT00274651","ClinicalTrials.gov",NA,FALSE
"NCT00281515","ClinicalTrials.gov",NA,FALSE
"NCT00282646","ClinicalTrials.gov","2005-000968-33",TRUE
"NCT00284713","ClinicalTrials.gov",NA,FALSE
"NCT00293943","ClinicalTrials.gov",NA,FALSE
"NCT00298363","ClinicalTrials.gov",NA,FALSE
"NCT00298597","ClinicalTrials.gov","2005-001113-18",TRUE
"NCT00303459","ClinicalTrials.gov",NA,FALSE
"NCT00303810","ClinicalTrials.gov",NA,FALSE
"NCT00312845","ClinicalTrials.gov",NA,FALSE
"NCT00317642","ClinicalTrials.gov","2008-001043-19",TRUE
"NCT00319020","ClinicalTrials.gov","2005-001967-70",TRUE
"NCT00319046","ClinicalTrials.gov",NA,FALSE
"NCT00324311","ClinicalTrials.gov",NA,FALSE
"NCT00326066","ClinicalTrials.gov",NA,FALSE
"NCT00326989","ClinicalTrials.gov","2005-005709-50",TRUE
"NCT00330369","ClinicalTrials.gov",NA,FALSE
"NCT00331890","ClinicalTrials.gov",NA,FALSE
"NCT00334594","ClinicalTrials.gov","2006-000445-19",TRUE
"NCT00335543","ClinicalTrials.gov",NA,FALSE
"NCT00351403","ClinicalTrials.gov","2006-000358-38",TRUE
"NCT00353496","ClinicalTrials.gov","2005-004904-35",TRUE
"NCT00354133","ClinicalTrials.gov",NA,FALSE
"NCT00355095","ClinicalTrials.gov","2005-005592-14",TRUE
"NCT00355862","ClinicalTrials.gov","2005-005362-36",TRUE
"NCT00359424","ClinicalTrials.gov","2009-017454-12",TRUE
"NCT00359918","ClinicalTrials.gov",NA,FALSE
"NCT00362089","ClinicalTrials.gov",NA,FALSE
"NCT00366158","ClinicalTrials.gov",NA,FALSE
"NCT00368953","ClinicalTrials.gov",NA,FALSE
"NCT00373425","ClinicalTrials.gov","2005-001747-29",TRUE
"NCT00373451","ClinicalTrials.gov",NA,FALSE
"NCT00374985","ClinicalTrials.gov",NA,FALSE
"NCT00375219","ClinicalTrials.gov","2006-000176-32",TRUE
"NCT00379470","ClinicalTrials.gov",NA,FALSE
"NCT00382967","ClinicalTrials.gov",NA,FALSE
"NCT00385697","ClinicalTrials.gov",NA,FALSE
"NCT00389181","ClinicalTrials.gov",NA,FALSE
"NCT00389779","ClinicalTrials.gov",NA,FALSE
"NCT00390832","ClinicalTrials.gov",NA,FALSE
"NCT00391443","ClinicalTrials.gov",NA,FALSE
"NCT00391612","ClinicalTrials.gov",NA,FALSE
"NCT00392054","ClinicalTrials.gov",NA,FALSE
"NCT00392184","ClinicalTrials.gov",NA,FALSE
"NCT00393679","ClinicalTrials.gov",NA,FALSE
