"","nctid","anticipated_enrollment","actual_enrollment","has_summary_result","start_date","stop_date","trial_days","source","reason_for_termination","reason_category","primary_reason_recoded","combination_reason_category"
"1","NCT00150878",172,198,FALSE,"2003-12-01","2009-12-01",2192,"Intovalue","Insurance coverage reached","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"2","NCT00480077",2300,335,TRUE,"2007-03-01","2012-01-01",1767,"Intovalue","Low enrollment rates","non_scientific_reason","Low accrual rate","non_scientific_reason"
"3","NCT00618384",72,43,FALSE,"2008-01-01","2011-05-01",1216,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"4","NCT00640679",3000,782,FALSE,"2008-04-01","2012-08-01",1583,"Intovalue","Due to slow enrollment the study was stopped prematurely.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"5","NCT00672334",402,350,FALSE,"2008-05-01","2011-06-01",1126,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"6","NCT00690118",220,219,FALSE,"2008-05-01","2011-01-01",975,"Intovalue","The interim analysis showed no tendency in favour of the verum group. Therefore it was decided to stop the study prematurely.","scientific_reason","Evidence of futility","scientific_reason"
"7","NCT00716833",120,87,FALSE,"2006-02-01","2010-12-01",1764,"Intovalue","poor recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"8","NCT00798525",240,70,FALSE,"2009-01-01","2012-03-01",1155,"Intovalue","Supply of Lepirudin ended on 01. April 2012, thus trial terminated on 31. March 2012","non_scientific_reason","Lack of investigational product","non_scientific_reason"
"9","NCT00803309",150,99,FALSE,"2008-11-01","2013-08-01",1734,"Intovalue","At the end of the planned recruitment period the expected number of subjects could not be included in the trial.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"10","NCT00986258",180,136,TRUE,"2009-10-01","2010-12-01",426,"Intovalue","This clinical trial was terminated early, due to slow recruitment and study drug shortages.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"11","NCT00996554",942,252,FALSE,"2004-01-01","2012-01-01",2922,"Intovalue","Feasibility reasons; recruitment was too slow.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"12","NCT00999856",65,28,FALSE,"2008-08-01","2012-03-01",1308,"Intovalue","Two cohorts successfully completed; further cohorts not needed; no safety issue!","scientific_reason","Evidence of benefit","scientific_reason"
"13","NCT01021423",382,9,TRUE,"2010-04-01","2011-03-01",334,"Intovalue","Terminated by sponsor due to new unpublished data that rendered the current design of the study no longer clinically relevant. There were no safety concerns.","scientific_reason","External evidence","scientific_reason"
"14","NCT01030666",NA,61,TRUE,"2007-04-01","2011-01-01",1371,"Intovalue","shelf life of investigational drug ran out before 90 patients could be included","non_scientific_reason","Lack of investigational product","non_scientific_reason"
"15","NCT01143272",1520,477,TRUE,"2010-06-01","2012-11-01",884,"Intovalue","Masked independent interim analysis: completion of the trial was unlikely.","scientific_reason","Evidence of futility","scientific_reason"
"16","NCT01178255",228,44,FALSE,"2010-08-01","2011-11-01",457,"Intovalue","recruitment difficulties","non_scientific_reason","Low accrual rate","non_scientific_reason"
"17","NCT01239992",20,12,TRUE,"2011-06-01","2013-01-01",580,"Intovalue","negative endpoint study resulting in withdrawal of study drug","scientific_reason","External evidence","scientific_reason"
"18","NCT01297712",NA,1069,FALSE,"2009-09-01","2010-11-01",426,"Intovalue","enrollment terminated, analysis ongoing","other","Other/unspecified reason",NA
"19","NCT01339026",140,44,FALSE,"2012-02-01","2013-09-01",578,"Intovalue","Change in guidelines favouring newer antiplatelet drugs in ACS","scientific_reason","External evidence","scientific_reason"
"20","NCT01564095",86,25,FALSE,"2011-10-01","2013-07-01",639,"Intovalue","Missing evidence of the effectiveness of the study medication","scientific_reason","Evidence of futility","scientific_reason"
"21","NCT01601496",150,117,TRUE,"2009-10-26","2013-07-24",1367,"Intovalue","Slow Enrollment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"22","NCT00626548",1500,2577,TRUE,"2008-01-01","2011-03-01",1155,"Intovalue","early efficacy review by the Independent Data Monitoring Committee indicated it was unlikely to meet its primary efficacy endpoints","scientific_reason","Evidence of futility","scientific_reason"
"23","NCT00746720",52,23,FALSE,"2006-05-01","2009-07-01",1157,"Intovalue","Patient recruitment difficulties","non_scientific_reason","Low accrual rate","non_scientific_reason"
"24","NCT00368121",33,13,FALSE,"2006-08-01","2012-06-01",2131,"Intovalue","Lack of recruitable patients","non_scientific_reason","Low accrual rate","non_scientific_reason"
"25","NCT00502554",20,12,FALSE,"2007-08-01","2010-04-01",974,"Intovalue","insufficient patient recruitment and ECP capacity","non_scientific_reason","Low accrual rate","non_scientific_reason"
"26","NCT00663104",126,126,FALSE,"2008-04-01","2009-06-01",426,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"27","NCT00667667",108,108,FALSE,"2008-04-01","2009-06-01",426,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"28","NCT00708942",150,83,TRUE,"2009-01-01","2012-01-01",1095,"Intovalue","Slow recruitment, study stopped with only 13 of 70 patients included in second part of the study","non_scientific_reason","Low accrual rate","non_scientific_reason"
"29","NCT00720850",50,10,FALSE,"2008-04-01","2011-01-01",1005,"Intovalue","Low recruitment, scientific rationale not applicable anymore to all patients and possible induction of GvHD by the study drug","scientific_reason","Evidence of harm","both_scientific_and_non_scientific"
"30","NCT00823290",18,2,FALSE,"2009-01-01","2010-12-01",699,"Intovalue","Investigator left site","non_scientific_reason","Principal investigator departure","non_scientific_reason"
"31","NCT00933374",30,28,FALSE,"2009-07-01","2012-11-01",1219,"Intovalue","delayed recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"32","NCT01079091",160,14,FALSE,"2010-09-01","2013-07-01",1034,"Intovalue","The foundations of our pilotstudy planning has changed.","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"33","NCT01079104",184,7,FALSE,"2010-09-01","2013-08-01",1065,"Intovalue","The foundations of our pilotstudy planning has changed.","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"34","NCT01187888",112,44,FALSE,"2010-01-01","2012-06-01",882,"Intovalue","IMP used off label by phys. in pat. with PSP. Thus no more eligible patients were available for the study(pre-treatm.with Rasagiline=exclusion criterion","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"35","NCT01215266",NA,98,FALSE,"2006-10-01","2011-06-01",1704,"Intovalue","Slow recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"36","NCT01245985",50,8,FALSE,"2010-11-01","2012-11-01",731,"Intovalue","slow recruitment (only 8 patients recruited and treated until 12&#x2F;2012)","non_scientific_reason","Low accrual rate","non_scientific_reason"
"37","NCT00125606",172,30,FALSE,"2004-10-01","2011-07-01",2464,"Intovalue","insufficient patient recruitement","non_scientific_reason","Low accrual rate","non_scientific_reason"
"38","NCT00331721",72,24,FALSE,"2006-05-01","2009-05-01",1096,"Intovalue","Scientific data called into question the viability of the substance class","scientific_reason","External evidence","scientific_reason"
"39","NCT00368264",44,1,FALSE,"2006-09-01","2009-06-01",1004,"Intovalue","Failure to recruit patients with membranous lupus nephritis not previously treated with azathioprine .","non_scientific_reason","Low accrual rate","non_scientific_reason"
"40","NCT00405873",NA,73,FALSE,"2007-03-01","2010-03-01",1096,"Intovalue","Lack of efficacy","scientific_reason","Evidence of futility","scientific_reason"
"41","NCT00457951",66,158,TRUE,"2007-04-01","2009-08-01",853,"Intovalue","Interim analysis: safety without efficacy ODSH in patients with acute COPD.","scientific_reason","Evidence of futility","scientific_reason"
"42","NCT00511160",120,120,FALSE,"2007-08-01","2010-08-01",1096,"Intovalue","Study suspended due to logistical&#x2F;personnel difficulties","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
