"nctid","reason_for_termination","primary_reason","reason_category","primary_reason_recoded"
"NCT02067884","Slow accrual","2a","non_scientific_reason","Low accrual rate"
"NCT00150878","Insurance coverage reached","2e","non_scientific_reason","Administrative, logistical, or technical issues"
"NCT00480077","Low enrollment rates","2a","non_scientific_reason","Low accrual rate"
"NCT00716833","poor recruitment","2a","non_scientific_reason","Low accrual rate"
"NCT01518465","Insufficient Accrual","2a","non_scientific_reason","Low accrual rate"
"NCT02127892","Closed due to slow accrual. Nine subjects enrolled over 7 years.","2a","non_scientific_reason","Low accrual rate"
"NCT00556907","Lack of Funding","2b","non_scientific_reason","Lack of funding"
"NCT02967380","Insufficient Accrual","2a","non_scientific_reason","Low accrual rate"
"NCT01801046","Insufficient Accrual","2a","non_scientific_reason","Low accrual rate"
"NCT00950274","Recruitment stopped due to slow recruitment","2a","non_scientific_reason","Low accrual rate"
"NCT00640679","Due to slow enrollment the study was stopped prematurely.","2a","non_scientific_reason","Low accrual rate"
"NCT00798525","Supply of Lepirudin ended on 01. April 2012, thus trial terminated on 31. March 2012","2d","non_scientific_reason","Lack of investigational product"
"NCT00803309","At the end of the planned recruitment period the expected number of subjects could not be included in the trial.","2a","non_scientific_reason","Low accrual rate"
"NCT00986258","This clinical trial was terminated early, due to slow recruitment and study drug shortages.","2a","non_scientific_reason","Low accrual rate"
"NCT00996554","Feasibility reasons; recruitment was too slow.","2a","non_scientific_reason","Low accrual rate"
"NCT01030666","shelf life of investigational drug ran out before 90 patients could be included","2d","non_scientific_reason","Lack of investigational product"
"NCT01178255","recruitment difficulties","2a","non_scientific_reason","Low accrual rate"
"NCT01601496","Slow Enrollment","2a","non_scientific_reason","Low accrual rate"
"NCT00746720","Patient recruitment difficulties","2a","non_scientific_reason","Low accrual rate"
"NCT00368121","Lack of recruitable patients","2a","non_scientific_reason","Low accrual rate"
"NCT00502554","insufficient patient recruitment and ECP capacity","2a","non_scientific_reason","Low accrual rate"
"NCT00708942","Slow recruitment, study stopped with only 13 of 70 patients included in second part of the study","2a","non_scientific_reason","Low accrual rate"
"NCT00823290","Investigator left site","2c","non_scientific_reason","Principal investigator departure"
"NCT00933374","delayed recruitment","2a","non_scientific_reason","Low accrual rate"
"NCT01079091","The foundations of our pilotstudy planning has changed.","2e","non_scientific_reason","Administrative, logistical, or technical issues"
"NCT01079104","The foundations of our pilotstudy planning has changed.","2e","non_scientific_reason","Administrative, logistical, or technical issues"
"NCT01187888","IMP used off label by phys. in pat. with PSP. Thus no more eligible patients were available for the study(pre-treatm.with Rasagiline=exclusion criterion","2e","non_scientific_reason","Administrative, logistical, or technical issues"
"NCT01215266","Slow recruitment","2a","non_scientific_reason","Low accrual rate"
"NCT01245985","slow recruitment (only 8 patients recruited and treated until 12&#x2F;2012)","2a","non_scientific_reason","Low accrual rate"
